Restaurant ID,Restaurant Name,City,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Aggregate rating,Rating text,Votes
313481,Bombay's Royal China,New Delhi,"Chinese, Fast Food",600,No,No,3.2,Average,17
18359287,Chin China,New Delhi,Chinese,150,No,No,3.1,Average,9
18199151,Cholkat,New Delhi,"Bakery, Desserts",500,No,No,3,Average,4
311162,Deluxe Butter Omlette,New Delhi,Fast Food,200,No,No,3.3,Average,13
18204823,Giani's,New Delhi,"Ice Cream, Desserts",400,No,No,3,Average,12
302465,Kanha Sweets,New Delhi,"Street Food, Mithai",150,No,No,2.8,Average,24
18359296,Liquid,New Delhi,"North Indian, Mughlai, Chinese",2400,Yes,No,3.2,Average,11
300925,Papa Chinese Veg Food,New Delhi,Chinese,350,No,No,2.8,Average,12
307026,Punjab To China,New Delhi,"Chinese, North Indian",550,No,No,3.2,Average,19
18352220,Chocolacious by WedCraft,New Delhi,"Bakery, Desserts",300,No,No,0,Not rated,0
18359300,Frontier,New Delhi,Bakery,200,No,No,0,Not rated,0
18445759,Gopal Ji Rasoi Wala,New Delhi,North Indian,200,No,No,0,Not rated,2
18435210,Kanuchawala,New Delhi,"North Indian, Chinese",400,No,No,0,Not rated,0
18430914,Keventers,New Delhi,Beverages,400,No,No,0,Not rated,3
18216703,Muncheezz,New Delhi,Chinese,300,No,No,0,Not rated,0
18359285,Shaketastic,New Delhi,Beverages,250,No,No,0,Not rated,0
18359289,Sree Krishna Udupi,New Delhi,"South Indian, North Indian",250,No,No,0,Not rated,1
18057816,Asia 21,New Delhi,"Asian, North Indian, Japanese",1800,Yes,Yes,2.9,Average,48
18303432,Barkat,New Delhi,"North Indian, Mughlai",800,Yes,Yes,3.4,Average,67
3790,Bikanervala,New Delhi,"North Indian, South Indian, Fast Food, Street Food, Chinese, Mithai",500,No,No,3.4,Average,81
2509,Chawla's,New Delhi,"North Indian, Mughlai, Chinese",800,No,No,3.4,Average,135
18238913,Cilantro Woodapple,New Delhi,"North Indian, Continental, Mughlai",800,Yes,No,3,Average,8
215,Domino's Pizza,New Delhi,"Pizza, Fast Food",700,No,No,2.8,Average,102
3793,Giani's,New Delhi,"Ice Cream, Desserts",400,No,Yes,3.2,Average,51
18244250,Gopala,New Delhi,"Mithai, Street Food",250,No,No,2.9,Average,6
18372294,Green Chick Chop,New Delhi,"Raw Meats, North Indian, Fast Food",350,No,No,3,Average,4
6261,Gupta Chat Corner,New Delhi,"Street Food, Mughlai",300,No,No,3.3,Average,47
18376484,Kake Da Hotel,New Delhi,North Indian,600,No,Yes,2.7,Average,15
468,Karim's,New Delhi,"Mughlai, North Indian",700,No,Yes,2.5,Average,84
8276,Katyal Pure Vegetarian,New Delhi,"Chinese, North Indian, Mughlai",300,No,No,3,Average,10
6120,Kunal Dhaba,New Delhi,North Indian,150,No,No,3.2,Average,18
18252395,Midnight Hunger,New Delhi,"North Indian, Chinese, Mughlai",400,No,No,3.1,Average,9
18180073,Moon Bite,New Delhi,"North Indian, Chinese",300,No,Yes,3.1,Average,177
18441678,Nirula's Ice Cream,New Delhi,"Desserts, Ice Cream",250,No,No,3,Average,5
18400762,Pash!,New Delhi,Bakery,200,No,No,3.1,Average,6
306492,Rashi's De La Creme,New Delhi,Bakery,350,No,No,3.1,Average,7
8488,Rupa Dairy,New Delhi,"Mithai, Street Food",200,No,No,2.9,Average,6
310536,Sandy's Punjabi Rasoi,New Delhi,"North Indian, Mughlai, Chinese",500,No,No,3.2,Average,24
308360,Shree Rathnam,New Delhi,"South Indian, North Indian, Chinese",800,Yes,Yes,3.3,Average,121
18017248,Tandoori Planet,New Delhi,North Indian,250,No,No,3.4,Average,32
312855,Tandoori Tadka,New Delhi,"North Indian, Chinese",450,No,Yes,3.3,Average,17
18463971,Urban Owl,New Delhi,"North Indian, Chinese",500,No,No,3.1,Average,8
8600,4th Street Cafe,New Delhi,Fast Food,500,No,Yes,3.5,Good,145
18380143,Late Lateefe,New Delhi,"North Indian, Mughlai, Chinese",600,No,Yes,3.5,Good,44
18254520,Mr. Brown,New Delhi,"Bakery, Desserts, Fast Food",500,No,Yes,3.7,Good,50
18222554,The Riding Guns Cafe,New Delhi,Cafe,850,No,No,3.6,Good,100
18462589,Baskin Robbins,New Delhi,Ice Cream,300,No,Yes,0,Not rated,1
18336474,Chai Garam,New Delhi,"Tea, Beverages, Fast Food",300,No,No,0,Not rated,2
18336477,Chilli Tadka,New Delhi,North Indian,450,No,No,0,Not rated,3
18382047,Colours of Biryani,New Delhi,Mughlai,400,No,No,0,Not rated,0
18441566,Fc Katyal,New Delhi,Chinese,250,No,No,0,Not rated,0
18441669,Food State,New Delhi,North Indian,300,No,No,0,Not rated,0
18396358,Giani,New Delhi,"Ice Cream, Desserts",400,No,No,0,Not rated,1
6248,Gupta Eating Corner,New Delhi,North Indian,200,No,No,0,Not rated,2
308832,Hot 'N' Cool,New Delhi,"Fast Food, Italian",200,No,No,0,Not rated,0
18421030,Hot Joint Fast Food,New Delhi,Chinese,300,No,No,0,Not rated,0
18378016,Murliwala Bakers,New Delhi,"Fast Food, Bakery",300,No,No,0,Not rated,0
310889,New Garden Hut,New Delhi,"Chinese, Fast Food",300,No,No,0,Not rated,0
308837,Perfect Party Chef,New Delhi,"Fast Food, Chinese",200,No,No,0,Not rated,1
18441685,R.S. Chinese Food,New Delhi,Fast Food,250,No,No,0,Not rated,0
6249,Rama Fast Food,New Delhi,North Indian,150,No,No,0,Not rated,0
312860,Shanghai Chinese Food,New Delhi,Chinese,400,No,No,0,Not rated,1
18378023,Teens Cafe Fast Food,New Delhi,Chinese,200,No,No,0,Not rated,0
18107855,The Tandoor Hut,New Delhi,"North Indian, Mughlai",600,No,No,0,Not rated,2
18396955,The Taste of Tandoor,New Delhi,North Indian,300,No,No,0,Not rated,0
310896,The Chinese Hut,New Delhi,"Chinese, North Indian",550,No,Yes,2.4,Poor,62
5446,Linx - Premier Inn,New Delhi,"North Indian, Chinese",2000,Yes,No,3,Average,32
5448,The 87 - Premier Inn,New Delhi,North Indian,2200,Yes,No,3.1,Average,18
18408062,Stallion - Pride Plaza Hotel,New Delhi,North Indian,2500,Yes,No,3.1,Average,7
18415386,Aqua Grill - Pride Plaza Hotel,New Delhi,"Continental, North Indian",3000,No,No,0,Not rated,0
18397621,Mr. Confectioner - Pride Plaza Hotel,New Delhi,Bakery,500,No,No,0,Not rated,0
18369301,Aditya's Kulcha Express,New Delhi,Street Food,250,No,Yes,3.3,Average,18
309383,Allterian By Chanson,New Delhi,"Continental, Italian",1300,Yes,No,3.4,Average,140
